event_id,timestamp,alarm_point,equipment_ref,alarm_type,priority,state,value,operator
AME-000004,2026-07-26T12:00:00Z,C-101.VIB,C-101,H,P1,ACTIVE,6.8,OP_MARIA
AME-000005,2026-07-26T15:00:00Z,C-101.VIB,C-101,HH,P1,ACTIVE,9.2,OP_MARIA
AME-000006,2026-07-26T15:05:00Z,C-101.VIB,C-101,HH,P1,ACK,9.3,OP_LEE
AME-000007,2026-07-27T06:00:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000008,2026-07-27T06:04:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000009,2026-07-27T06:09:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000010,2026-07-27T06:17:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000011,2026-07-27T06:25:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000012,2026-07-27T06:32:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000013,2026-07-27T06:36:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000014,2026-07-27T06:42:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000015,2026-07-27T06:49:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000016,2026-07-27T06:53:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000017,2026-07-27T06:56:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000018,2026-07-27T07:02:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000019,2026-07-27T07:06:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000020,2026-07-27T07:09:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000021,2026-07-27T07:17:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000022,2026-07-27T07:20:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000023,2026-07-27T07:29:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000024,2026-07-27T07:35:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000025,2026-07-27T07:39:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000026,2026-07-27T07:45:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000027,2026-07-27T07:50:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000028,2026-07-27T07:59:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000029,2026-07-27T08:06:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
AME-000030,2026-07-27T08:12:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,RTN,78.3,OP_LEE
AME-000031,2026-07-27T08:18:00Z,TNK-200-101.LVL,TNK-200-101,H,P3,ACTIVE,78.6,OP_LEE
